mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__alpha,param_regressor__eta0,param_regressor__l1_ratio,param_regressor__learning_rate,param_regressor__loss,param_regressor__max_iter,param_regressor__penalty,param_regressor__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05414834022521973,0.04656283098533495,0.003062915802001953,0.0006514361652045814,0.001,0.01,0.15,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3385567.980485359,-4921643.453808954,-10003088.868975207,-8079390.536649256,-6732944.974980039,-6624527.162979763,2320936.4735833206,12
0.049436187744140624,0.04150929598356911,0.0029309749603271484,0.0014566748304348876,0.001,0.01,0.5,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3385567.980485359,-4921643.453808954,-10003088.868975207,-8079390.536649256,-6732944.974980039,-6624527.162979763,2320936.4735833206,12
0.08464713096618652,0.06308793254828605,0.0027423381805419924,0.0008686560637427978,0.001,0.01,0.15,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3385958.245766282,-4921999.087569422,-10010347.73491759,-8084935.465618095,-6742684.121381581,-6629184.931050594,2323676.243699878,14
0.18480172157287597,0.04605367283010176,0.0025096416473388674,0.000353929643148215,0.001,0.001,0.5,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3408066.180937118,-4855539.064097117,-10028778.283663804,-8083076.280247574,-6771199.778947245,-6629331.9175785715,2332922.150055308,15
0.20276813507080077,0.01000211466797651,0.002838277816772461,0.0011186532514684028,0.01,0.001,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.01, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3399984.0992409894,-4873409.096910636,-9981949.471977789,-8110842.623673238,-6812247.286122191,-6635686.515584969,2322934.6460782485,16
0.19750781059265138,0.007256795810035834,0.0033822059631347656,0.0012098541622945834,0.01,0.001,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.01, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3399984.0992409894,-4873409.096910636,-9981949.471977789,-8110842.623673238,-6812247.286122191,-6635686.515584969,2322934.6460782485,16
0.11651902198791504,0.05991288580437726,0.002865171432495117,0.0012509742427209024,0.001,0.01,0.5,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.01, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3388401.7166943233,-4923785.943258575,-10028259.62576735,-8103307.4391867705,-6770383.237932632,-6642827.59256793,2330528.431496723,18
1.2249188423156738,0.11514287364726992,0.045374155044555664,0.04436757287575767,0.0001,0.001,0.5,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3400905.514705437,-4871626.011145312,-10044224.880042309,-8105815.361059879,-6805766.9325804915,-6645667.739906685,2340237.5697907493,19
0.17763028144836426,0.0073822079003820415,0.003010416030883789,0.0009175105346094603,0.0001,0.001,0.15,adaptive,squared_error,20000,l2,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l2', 'regressor__tol': 0.0001}",-3400905.514705437,-4871626.011145312,-10044224.880042309,-8105815.361059879,-6805766.9325804915,-6645667.739906685,2340237.5697907493,19
0.22464118003845215,0.007313318320657576,0.0027430057525634766,0.0005552094563156579,0.0001,0.001,0.15,adaptive,squared_error,20000,elasticnet,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'elasticnet', 'regressor__tol': 0.0001}",-3399959.5470436853,-4871815.620979945,-10044850.86419955,-8106620.215155654,-6806285.446629134,-6645906.3388015935,2340760.509899208,21
0.23920269012451173,0.04225385030952598,0.0029781818389892577,0.0006473336837544124,0.001,0.001,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3400019.6766553177,-4873464.932849207,-10044103.94912603,-8111281.265596291,-6811819.23176214,-6648137.811197798,2340935.7798381443,22
0.237318754196167,0.009217148982159496,0.003299045562744141,0.00082232576596222,0.001,0.001,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3400019.6766553177,-4873464.932849207,-10044103.94912603,-8111281.265596291,-6811819.23176214,-6648137.811197798,2340935.7798381443,22
0.5558330059051514,0.2811715051442256,0.0047856330871582035,0.0013870019607383707,0.0001,0.001,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3400023.2345676166,-4873470.516610718,-10044103.934617653,-8111290.501812749,-6811823.469841166,-6648142.331489981,2340935.1555140046,24
0.22301011085510253,0.010003204791694639,0.0035608291625976564,0.0012193517674162233,0.0001,0.001,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 0.0001, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3400023.2345676166,-4873470.516610718,-10044103.934617653,-8111290.501812749,-6811823.469841166,-6648142.331489981,2340935.1555140046,24
0.29488191604614256,0.05906723513914111,0.003246116638183594,0.0007538719375921203,1e-05,0.001,0.15,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.15, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3400023.590360566,-4873471.074988582,-10044103.933145598,-8111291.425436045,-6811823.893650663,-6648142.783516291,2340935.0930751283,26
0.2220907688140869,0.006238467371679629,0.0026153087615966796,0.0002251645358332235,1e-05,0.001,0.5,adaptive,squared_error,20000,l1,0.0001,"{'regressor__alpha': 1e-05, 'regressor__eta0': 0.001, 'regressor__l1_ratio': 0.5, 'regressor__learning_rate': 'adaptive', 'regressor__loss': 'squared_error', 'regressor__max_iter': 20000, 'regressor__penalty': 'l1', 'regressor__tol': 0.0001}",-3400023.590360566,-4873471.074988582,-10044103.933145598,-8111291.425436045,-6811823.893650663,-6648142.783516291,2340935.0930751283,26
